periodo,tasa_vacancia,tasa_titular,tasa_subrogancia,tasa_concurso_vacantes,stale_meses
2003-01,,,,,
2003-02,,,,,
2003-03,,,,,
2003-04,,,,,
2003-05,,,,,
2003-06,,,,,
2003-07,,,,,
2003-08,,,,,
2003-09,,,,,
2003-10,,,,,
2003-11,,,,,
2003-12,,,,,
2004-01,,,,,
2004-02,,,,,
2004-03,,,,,
2004-04,,,,,
2004-05,,,,,
2004-06,,,,,
2004-07,,,,,
2004-08,,,,,
2004-09,,,,,
2004-10,,,,,
2004-11,,,,,
2004-12,,,,,
2005-01,,,,,
2005-02,,,,,
2005-03,,,,,
2005-04,,,,,
2005-05,,,,,
2005-06,,,,,
2005-07,,,,,
2005-08,,,,,
2005-09,,,,,
2005-10,,,,,
2005-11,,,,,
2005-12,,,,,
2006-01,,,,,
2006-02,,,,,
2006-03,,,,,
2006-04,,,,,
2006-05,,,,,
2006-06,,,,,
2006-07,,,,,
2006-08,,,,,
2006-09,,,,,
2006-10,,,,,
2006-11,,,,,
2006-12,,,,,
2007-01,,,,,
2007-02,,,,,
2007-03,,,,,
2007-04,,,,,
2007-05,,,,,
2007-06,,,,,
2007-07,,,,,
2007-08,,,,,
2007-09,,,,,
2007-10,,,,,
2007-11,,,,,
2007-12,,,,,
2008-01,,,,,
2008-02,,,,,
2008-03,,,,,
2008-04,,,,,
2008-05,,,,,
2008-06,,,,,
2008-07,,,,,
2008-08,,,,,
2008-09,,,,,
2008-10,,,,,
2008-11,,,,,
2008-12,,,,,
2009-01,,,,,
2009-02,,,,,
2009-03,,,,,
2009-04,,,,,
2009-05,,,,,
2009-06,,,,,
2009-07,,,,,
2009-08,,,,,
2009-09,,,,,
2009-10,,,,,
2009-11,,,,,
2009-12,,,,,
2010-01,,,,,
2010-02,,,,,
2010-03,,,,,
2010-04,,,,,
2010-05,,,,,
2010-06,,,,,
2010-07,,,,,
2010-08,,,,,
2010-09,,,,,
2010-10,,,,,
2010-11,,,,,
2010-12,,,,,
2011-01,,,,,
2011-02,,,,,
2011-03,,,,,
2011-04,,,,,
2011-05,,,,,
2011-06,,,,,
2011-07,,,,,
2011-08,,,,,
2011-09,,,,,
2011-10,,,,,
2011-11,,,,,
2011-12,,,,,
2012-01,,,,,
2012-02,,,,,
2012-03,,,,,
2012-04,,,,,
2012-05,,,,,
2012-06,,,,,
2012-07,,,,,
2012-08,,,,,
2012-09,,,,,
2012-10,,,,,
2012-11,,,,,
2012-12,,,,,
2013-01,,,,,
2013-02,,,,,
2013-03,,,,,
2013-04,,,,,
2013-05,,,,,
2013-06,,,,,
2013-07,,,,,
2013-08,,,,,
2013-09,,,,,
2013-10,,,,,
2013-11,,,,,
2013-12,,,,,
2014-01,,,,,
2014-02,,,,,
2014-03,,,,,
2014-04,,,,,
2014-05,,,,,
2014-06,,,,,
2014-07,,,,,
2014-08,,,,,
2014-09,,,,,
2014-10,,,,,
2014-11,,,,,
2014-12,,,,,
2015-01,,,,,
2015-02,,,,,
2015-03,,,,,
2015-04,,,,,
2015-05,,,,,
2015-06,,,,,
2015-07,,,,,
2015-08,,,,,
2015-09,,,,,
2015-10,,,,,
2015-11,,,,,
2015-12,,,,,
2016-01,,,,,
2016-02,,,,,
2016-03,,,,,
2016-04,,,,,
2016-05,,,,,
2016-06,,,,,
2016-07,,,,,
2016-08,,,,,
2016-09,,,,,
2016-10,,,,,
2016-11,,,,,
2016-12,,,,,
2017-01,,,,,
2017-02,,,,,
2017-03,,,,,
2017-04,,,,,
2017-05,,,,,
2017-06,,,,,
2017-07,,,,,
2017-08,,,,,
2017-09,,,,,
2017-10,,,,,
2017-11,,,,,
2017-12,0.2226,0.742,0.2441,0.8224,0.0
2018-01,0.2226,0.742,0.2441,0.8224,1.0
2018-02,0.2351,0.7327,0.2399,0.9738,0.0
2018-03,0.2351,0.7327,0.2399,0.9738,1.0
2018-04,0.2351,0.7327,0.2399,0.9738,2.0
2018-05,0.2351,0.7327,0.2399,0.9738,3.0
2018-06,0.242,0.73,0.2297,0.9746,0.0
2018-07,0.242,0.73,0.2297,0.9746,1.0
2018-08,0.2187,0.7517,0.2194,0.9748,0.0
2018-09,0.2187,0.7517,0.2194,0.9748,1.0
2018-10,0.2187,0.7517,0.2194,0.9748,2.0
2018-11,0.2187,0.7517,0.2194,0.9748,3.0
2018-12,0.2187,0.7517,0.2194,0.9748,4.0
2019-01,0.2187,0.7517,0.2194,0.9748,5.0
