periodo,sub_Ejecutivo,sub_Legislativo,sub_Judicial,sub_Prensa,sub_Banco Central,ITR,cobertura_vars,DNU vs Leyes,Discrecionalidad presup.,Transparencia (AIP),ATN (federalismo),Eficacia de Control,Calidad Normativa,Costo del Legislativo,Desempeño de la Corte,Cobertura Judicial,Escrutinio Abierto,Pauta Publicitaria,Causas contra periodistas,Medios estatales,Acceso de la prensa,Financiamiento al Tesoro,Letras intransferibles,Designación Pdte. BCRA,Respeto Carta Orgánica
2023-01,100.0,,100.0,100.0,,100.0,3,,100.0,,,,,,,100.0,,,,,100.0,,,,
2023-02,100.0,,100.0,100.0,,100.0,3,,100.0,,,,,,,100.0,,,,,100.0,,,,
2023-03,67.2919125906773,60.40982128982129,59.40249999999999,65.60479487179487,25.728702380952384,57.85006262307953,15,41.8,100.0,78.6,38.0,27.4,95.1,77.1,,59.4,,74.1,,20.6,100.0,0.0,4.1,0.0,98.8
2023-04,67.38873567346766,61.556543123543115,59.40249999999999,65.60479487179487,25.732758928571425,58.109062396803864,15,41.5,100.0,80.1,38.0,29.5,95.3,77.4,,59.4,,74.1,,20.6,100.0,0.0,3.8,0.0,99.1
2023-05,68.03513865532425,62.43483076923078,59.40249999999999,65.60479487179487,25.426357142857142,58.43268055264123,15,43.5,100.0,79.8,38.0,30.8,95.3,79.4,,59.4,,74.1,,20.6,100.0,0.0,4.8,0.0,96.9
2023-06,68.5451795201412,64.0720372960373,59.40249999999999,50.220179487179486,23.77770833333333,56.358144488326744,15,45.1,100.0,79.7,38.0,33.8,95.3,81.2,,59.4,,74.1,,20.6,50.0,0.0,4.0,0.0,91.1
2023-07,68.63022137833138,65.07308957708958,59.40249999999999,50.220179487179486,22.218056122448974,56.349919670361594,15,45.3,100.0,79.9,38.0,35.9,95.3,81.1,,59.4,,74.1,,20.6,50.0,0.0,3.1,0.0,85.7
2023-08,68.54371278418404,65.77121212121212,59.40249999999999,69.22853359683793,22.36173214285714,59.336396120451894,17,45.1,100.0,79.8,38.0,37.5,95.2,80.6,,59.4,56.6,74.1,100.0,20.6,100.0,0.0,2.5,0.0,86.9
2023-09,68.30903988776559,65.64828075628076,59.40249999999999,69.56120816864295,22.5993373015873,59.326949938120364,17,44.4,100.0,79.8,38.0,37.3,95.1,80.8,,59.4,59.1,74.1,98.8,20.6,99.4,0.0,2.0,0.0,88.4
2023-10,68.33824136567424,65.41400839160839,59.40249999999999,70.16905684170902,22.813874999999996,59.4122138642803,17,44.5,100.0,79.8,38.0,37.2,94.9,80.0,,59.4,62.3,74.1,98.0,20.6,98.8,0.0,1.7,0.0,89.5
2023-11,68.14169807029712,64.61830642085188,59.40249999999999,70.42936175418782,23.03020454545454,59.26560565020587,17,43.7,100.0,80.1,38.0,35.9,94.7,79.3,,59.4,64.5,74.1,96.7,20.6,98.3,0.0,1.6,0.0,90.5
2023-12,67.69786142543954,64.80989044289045,59.40249999999999,71.47198936937333,22.995574404761896,59.32197108233023,17,42.6,100.0,79.7,38.0,35.9,95.4,78.4,,59.4,69.9,74.1,95.0,20.6,97.9,0.0,0.7,0.0,91.3
2024-01,32.17223373479425,65.8480745920746,59.40249999999999,73.52421870027204,22.888749999999998,49.163730343893995,17,41.3,0.0,80.0,43.8,37.0,96.2,80.2,,59.4,75.5,76.2,93.8,23.2,97.3,0.0,0.0,0.0,91.6
2024-02,32.67753006134057,66.65031934731935,59.40249999999999,75.52094992900031,22.888749999999998,49.775277877216084,17,39.8,0.0,80.4,49.6,38.0,96.9,80.3,,59.4,80.5,78.3,92.8,25.8,96.9,0.0,0.0,0.0,91.6
2024-03,33.14596902497192,66.0691857031857,44.03106809583859,77.20468879644282,22.938565476190472,46.98532960819143,18,38.4,0.0,80.1,55.3,37.0,97.1,78.9,33.8,59.4,84.7,80.4,91.5,28.5,96.4,0.0,0.2,0.0,91.6
2024-04,33.39854158999167,65.49037529137529,44.38178238155287,78.62674784941768,23.232708333333328,47.27291243899579,18,36.6,0.0,79.2,61.1,35.9,97.0,78.9,33.8,60.3,88.1,82.5,90.0,31.1,95.8,0.0,1.4,0.0,91.6
2024-05,33.02985921572106,64.9437466977467,44.73249666726716,79.94884920755368,24.435482142857143,47.501856140280715,18,32.8,0.0,78.7,66.9,34.8,96.9,78.9,33.8,61.2,90.9,84.6,88.8,33.7,95.1,0.0,5.2,0.0,92.6
2024-06,32.51742867355368,63.12414374514375,44.41654428631479,81.96139599042155,26.350758928571434,47.510189446206766,18,28.8,0.0,77.8,72.7,31.6,96.6,77.6,33.8,60.4,98.1,86.6,85.8,36.4,93.5,0.0,9.7,0.0,95.7
