periodo,n_total,n_concluido,n_resuelto,n_vencido,n_en_plazo,tasa_respuesta,tasa_en_plazo,madurez
2023-01,603,603,571,32,355,0.9469,0.5887,1.0
2023-02,516,516,496,20,332,0.9612,0.6434,1.0
2023-03,937,937,908,29,674,0.9691,0.7193,1.0
2023-04,690,690,680,10,496,0.9855,0.7188,1.0
2023-05,703,703,680,23,458,0.9673,0.6515,1.0
2023-06,673,673,643,30,441,0.9554,0.6553,1.0
2023-07,642,642,607,35,439,0.9455,0.6838,1.0
2023-08,663,663,639,24,434,0.9638,0.6546,1.0
2023-09,639,639,604,35,423,0.9452,0.662,1.0
2023-10,683,683,649,34,451,0.9502,0.6603,1.0
2023-11,685,685,647,38,486,0.9445,0.7095,1.0
2023-12,550,550,523,27,338,0.9509,0.6145,1.0
2024-01,636,636,616,20,403,0.9686,0.6336,1.0
2024-02,654,654,634,20,452,0.9694,0.6911,1.0
2024-03,868,868,840,28,589,0.9677,0.6786,1.0
2024-04,1006,1006,944,62,593,0.9384,0.5895,1.0
2024-05,1035,1035,997,38,612,0.9633,0.5913,1.0
2024-06,932,932,899,33,492,0.9646,0.5279,1.0
2024-07,980,980,933,47,523,0.952,0.5337,1.0
2024-08,999,999,951,48,587,0.952,0.5876,1.0
2024-09,830,830,791,39,531,0.953,0.6398,1.0
2024-10,845,845,807,38,513,0.955,0.6071,1.0
2024-11,584,584,545,39,370,0.9332,0.6336,1.0
2024-12,582,582,541,41,351,0.9296,0.6031,1.0
2025-01,721,721,670,51,428,0.9293,0.5936,1.0
2025-02,734,734,695,39,428,0.9469,0.5831,1.0
2025-03,665,665,635,30,389,0.9549,0.585,1.0
2025-04,697,697,628,69,369,0.901,0.5294,1.0
2025-05,828,828,761,67,456,0.9191,0.5507,1.0
2025-06,709,709,657,52,439,0.9267,0.6192,1.0
2025-07,739,739,712,27,481,0.9635,0.6509,1.0
2025-08,727,727,709,18,453,0.9752,0.6231,1.0
2025-09,781,781,735,46,486,0.9411,0.6223,1.0
2025-10,729,729,692,37,428,0.9492,0.5871,1.0
2025-11,562,562,539,23,301,0.9591,0.5356,1.0
2025-12,450,450,428,22,282,0.9511,0.6267,1.0
2026-01,709,709,637,72,437,0.8984,0.6164,1.0
2026-02,588,588,515,73,302,0.8759,0.5136,1.0
2026-03,608,544,431,113,290,0.7923,0.5331,0.89
2026-04,542,250,250,0,224,1.0,0.896,0.46
2026-05,33,4,4,0,4,1.0,1.0,0.12
